,id,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,SWG,Elevel,,,Настройки-Параметры товаров-Отображать в навигации
,31,Цепь,Цепь,,,,,,,,,Не отображать в общем фильтре
,32,"Длина цепи, мм",ДлинаЦепи,,,,,,,,,Не отображать в общем фильтре
,33,Подходит для натяжных потолков,,,,Подходит для натяжных потолков,,,,,,Не отображать в общем фильтре
,34,Тип люстры,,,Тип люстры,,,,,,,Не отображать в общем фильтре
,35,Тип лампы,lamp_is_led,Тип лампы,Тип лампы,Совместимые типы ламп,,,Тип источника света.,,,
,,Тип лампы,,,,,,,Тип лампы,,,
,36,Лампа в комплекте,ЛампыВКомплекте,Лампа в комплекте,,Лампы в комплекте,,,С ламп. (источником света) в комплекте,,,Не отображать в общем фильтре
,37,Цоколь,Цоколь,Цоколь,Цоколь ламп,Тип цоколя,Цоколь [cokol],,Цоколь (патрон) лампы,,,
,,Цоколь,,,,,,,Цоколь,,,
,,Цоколь,,,,,,,Тип цоколя,,,
,38,"Кол-во ламп, шт",КоличествоЛамп,,"Количество ламп, шт",Количество ламп,,,Количество ламп (источников света),,,
,,,,,,,,,Количество ламп,,,
,39,Типоразмер лампы,,,Типоразмер лампы,,,,,,,Не отображать в общем фильтре
,40,"Световой поток, Лм (для лент Лм/м)",СветовойПоток,Световой поток,"Световой поток, лм (для лент Лм/м)","Световой поток, Lm","Световой поток, Лм [light_flow]","Световой поток 1м, Лм [svetovoy_potok_1m_lm]",Световой поток,,,
,,"Световой поток, Лм (для лент Лм/м)",,,,,,,Световой поток на метр погонный,,,
,,"Световой поток, Лм (для лент Лм/м)",,,,,,,"Световой поток, Лм",,,
,42,"Угол рассеивания, град.",УголРассеивания,,"Угол рассеивания рефлектора, °",,Угол рассевиания [VIEWING_ANGLE],,Угол светового пучка,,,
,43,"Индекс цветопередачи CRI, RA",ИндексЦветопередачи,,,,CRI [CRI],,Индекс цветопередачи (Ra),,,
,44,"Цветовая температура, K",ЦветоваяТемпература,Цветовая температура,"Цветовая темп., К",Цветовая температура,"Цветовая температура, K [LOW_EMISSION]",,Цветовая температура,,,
,,"Цветовая температура, K",,,,,,,"Цветовая температура, K",,,
,45,Цвет свечения,,,,Цвет освещения,Цвет свечения [EMISSION_COLOR],,Цвет света,,,Не отображать в общем фильтре
,,Цвет свечения,,,,,,,Цвет свечения,,,
,46,Аналог лампы накаливания,АналогЛампыНакаливания,,,,,,,,,Не отображать в общем фильтре
,47,Угол свечения,,,,,Угол свечения [ugol_svecheniya],,,,,Не отображать в общем фильтре
,48,"Коэфф пропускания плафоном света, 0-1",,,"Коэфф пропускания плафоном света, 0-1",,,,,,,Не отображать в общем фильтре
,49,Класс электрозащиты,Класс Электрозащиты,,,,,,,,,Не отображать в общем фильтре
,50,"Пылевлагозащита, IP",ingress_protection_rating,Степень защиты IP,"Пылевлагозащита, IP","Степень защиты, IP","Степень защиты, IP [PROTECTION_LEVEL]",,Степень защиты (IP),,,
,,"Пылевлагозащита, IP",,,,,,,Степень защиты IP,,,
,51,Степень защиты чаши крепления,Чаша крепления,,,,,,,,,Не отображать в общем фильтре
22.03.22 изменил название,52,"Напряжение, В",Напряжение,Напряжение,"Напряжение питания ламп, В",,"Рабочее напряжение, В [rabochee_napryazhenie]",,"Номин. напряжение, В",,,Не отображать в общем фильтре
22.03.22 изменил название,,"Напряжение, В",,,,,,,Напряжение,,,
22.03.22 изменил название,,"Напряжение, В",,,,,,,Номин. раб. напряжение,,,
,53,"Мощность ламп, Вт",Мощность,Мощность,"Мощность лампы (Max), Вт","Мощность, W",,,Мощность лампы,,,Не отображать в общем фильтре
,,"Мощность ламп, Вт",,,,,,,Макс. мощность лампы,,,
22.03.22 изменил название,Изменено название,"Общая мощность, Вт",,,"Суммарная мощность ЛОН, Вт","Общая мощность, W","Мощность, Вт [POWER]",,Макс. мощность системы,,,Не отображать в общем фильтре
22.03.22 изменил название,,"Общая мощность, Вт",,,,,,,"Мощность, Вт",,,
22.03.22 изменил название,,"Общая мощность, Вт",,,,,,,Номин. мощность,,,
22.03.22 изменил название,,"Общая мощность, Вт",,,,,,,Выход. Мощность,,,
22.03.22 изменил название,55,"Общая мощность LED, Вт",,,"Суммарная мощность LED, Вт",,,,,,,Не отображать в общем фильтре
,56,"Мощность ленты на 1м, Вт/м",,,"Мощность ленты на один метр, Вт/м",,"Мощность 1м, Вт [POWER_1METR]",,Мощность источников света на 1 метр погонный,,,Не отображать в общем фильтре
,57,"Максимальная мощность ленты на 1м, Вт/м",,,,,"Максимальная мощность ленты на 1м, Вт [maks_mosht_na_1m_vt]",,,,,Не отображать в общем фильтре
,58,"Выходное напряжение, В",,,"Выходное напряжение, В",,"Выходное напряжение, В [output_voltage]",,Параметр: Выход. напряжение,,,
,59,"Диапазон выходных напряжений драйвера, В",,,,,"Диапазон выходных напряжений драйвера, В [dia_vyhod_napryaz_drayvera]",,,,,
,60,"Ток, А/м",,,,,"Ток, А/м [tok_am]",,,,,
,61,"Выходной ток, мА",,,"Выходная сила тока на канал, мА",,"Выходной ток, мА [Vihodnoy_tok_ma]",,Выход. ток,,,
,62,"Максимальный выходной ток (на канал), А",,,,,"Максимальный выходной ток, А [output_current]","Выходной ток, А [Vihodnoy_tok_A]",Выходной ток,,,
,,"Максимальный выходной ток (на канал), А",,,,,,,"Выход. ток, А",,,
03/22/2022,,"Максимальный выходной ток (на канал), А",,,,,,,Макс. выход. Ток,,,
,64,"Выходной ток драйвера, мА",,,,,"Выходной ток драйвера, мА [vyhodnoy_tok_drayvera_ma]",,,,,
,65,"Максимальный ток на канал, А",,,,,"Максимальный ток на канал, А [max_tok_kanal]",,,,,
,66,"Количество каналов, шт",,,"Количество каналов, шт",,"Кол-во каналов, шт [kolichestvovo_kanalov]",,,,,
,67,Тип управления,,,Тип ДУ,,Тип управления [tip_upravleniya],,,,,
,68,Защита от КЗ,,,,,Защита от КЗ [protection_kz],,,,,
,69,Защита от перегрузки,,,,,Защита от перегрузки [zashchita_ot_peregruzki],,,,,
,70,Защита от перегрева,,,,,Защита от перегрева [zashchita_ot_peregreva],,,,,
,71,Тип датчика,,,,,Тип датчика [tip_datchika],,,,,
,72,Наличие сенсора,,,,,Наличие сенсора [nalichie_sensora],,,,,
,73,Диммирование,,,Диммирование [dimmirovanie],Диммер,Диммирование [dimmirovanie],,Диммируемый (-ая),,,
,74,Тип диммирования,,,,,Тип диммирования [tip_dimmirovaniya],,Тип диммирования,,,Не отображать в общем фильтре
,75,Защита от превышения входного напряжения,,,,,Защита от превышения входного напряжения [zashchita_ot_vhod_napryazh],,,,,
,76,Наличие вентилятора,,,,,Наличие вентилятора [nalichie_ventilyatora],,,,,
,77,"Рабочий диапазон температур, ̊С",,,,,"Рабочий даипазон температур, ̊С [temperature_range]",,,,,
,78,Рабочий диапазон влажности,,,,,Рабочий диапазон влажности [humidity_range],,,,,
,79,"Длина провода, см",,,,,"Длина провода, см [dean_wire]",,,,,
,80,Рекомендуемая лента,,,,,Рекомендуемая лента [rekomenduemaya_lenta],,,,,Не отображать в общем фильтре
,81,"Полость под блок питания, мм",,,,,"Полость под блок питания, мм [Polost_BP]",,,,,
,82,"Коэффициент мощности, PF",,,,,PF [PF],,,,,
,83,"КПД, %",,,,,КПД [kpd],,,,,
,84,Выходной сигнал,,,,,Выходной сигнал [vihodnoy_signal],,,,,
,85,Батарея,,,,,Батарея [battery],,,,,
,86,"Количество зон управления, шт",,,,,"Количество зон управления, шт [kolvo_zon_upravl]",,,,,
,87,"Длина волны, нм",,,,,"Длина волны, нм [dlina_volny_nm]",,,,,
,88,Наличие вилки,,,Наличие вилки,,,,,,,
,89,Наличие выключателя,,,Наличие выключателя,,,,,,,
,90,"Длина провода, мм",,,"Длина провода, мм",,,,,,,
,91,Цвет корпуса/арматуры,ЦветАрматуры,Цвет корпуса,Цвет арматуры,Цвет арматуры,Цвет корпуса [cvet_korpusa],Цвет [COLOR],Цвет корпуса,,,
,,Цвет корпуса/арматуры,,,,,,,Цвет,,,
,93,Цвет хрусталя,ЦветХрусталя,,,,,,,,,
,94,"Цвет абажура (плафона, декора)",ЦветАбажура,,Цвет плафона (Декора),Цвет плафона,,,,,,
,95,Цвет подвесок,,,Цвет подвесок,,,,,,,
,96,Цвет рожков,,,Цвет рожков,,,,,,,
,97,Цвет чаш,,,Цвет чаш,,,,,,,
,98,Цвет провода,,,Цвет провода,,,,,,,
,99,Материал корпуса/арматуры,МатериалАрматуры,Материал корпуса,Материал арматуры,Материал арматуры,Материал [material],,Материал корпуса,,,
,,Материал корпуса/арматуры,,,,,,,Материал,,,
,100,Материал подвесок,,,Материал подвесок,,,,,,,
,101,Материал рожков,,,Материал рожков,,,,,,,
,102,Материал чаш,,,Материал чаш,,,,,,,
,103,"Диаметр, мм",Диаметр,Диаметр,"Диаметр, мм","Диаметр, мм",,,Диаметр,,,
,,"Диаметр, мм",,,,,,,"Диаметр, мм",,,
,,"Диаметр, мм",,,,,,,Наруж. диаметр,,,
,104,"Длина, мм",Длина,Длина,"Длина (Глубина), мм","Длина, мм",,,Длина,,,
,,"Длина, мм",,,,,,,"Длина, мм",,,
,105,"Ширина, мм",Ширина,Ширина,"Ширина, мм","Ширина, мм",,,Ширина,,,
,,"Ширина, мм",,,,,,,Ширина устройства,,,
,,"Ширина, мм",,,,,,,"Ширина, мм",,,
,106,"Высота, мм",Высота,Высота,"Высота, мм",Высота минимальная,,,Высота/глубина,,,
,,"Высота, мм",,,,,,,Высота,,,
,,"Высота, мм",,,,,,,"Высота, мм",,,
,,"Высота, мм",,,,,,,Высота устройства,,,
,107,"Высота, мм",,,,,,,,,,
,108,"Минимальная высота, мм",МинимальнаяВысота,,"Высота min, мм","Высота минимальная, мм",,,,,,
,109,"Максимальная высота, мм",,,"Высота max, мм",Высота максимальная мм,,,,,,
,110,"Длина упаковки, мм",,,,"Длина, мм (упаковка)",,,,,,Не отображать в общем фильтре
,111,"Ширина упаковки, мм",,,,"Ширина, мм (упаковка)",,,,,,Не отображать в общем фильтре
,112,"Высота упаковки, мм",,,,"Высота, мм (упаковка)",,,,,,Не отображать в общем фильтре
,113,"Размеры (ДхШхВ), мм",,,,,"Размеры (ДхШхВ), мм [dimensions]",,,,,Не отображать в общем фильтре
,114,"Размеры (ДхШхВ), мм",,,,,"Размеры, мм [PROPORTIONS]",,,,,Не отображать в общем фильтре
,115,Габариты,,Габариты,,,,,,,,Не отображать в общем фильтре
,116,"Ширина СпМ, мм",,,"Ширина СпМ, мм",,,,,,,Не отображать в общем фильтре
,117,"Ширина макс, мм",,,"Ширина макс, мм",,,,,,,Не отображать в общем фильтре
,118,"Вес нетто, кг",ВесНетто,Вес,"Масса, кг","Вес нетто, кг",,,"Вес, кг",,,Не отображать в общем фильтре
,новый,"Вес нетто, гр",,,,,"Вес, гр. [WEIGHT]",,,,,
,119,"Вес брутто, кг",ВесБрутто,,,"Вес брутто, кг",,,,,,Не отображать в общем фильтре
,120,Форма чаши крепления,ФормаЧашиКрепления,,,,,,,,,
,121,"Ширина чаши крепления, мм",ШиринаЧашиКрепления,,,,,,,,,
,122,"Длина чаши крепления, мм",ДлинаЧашиКрепления,,,,,,,,,
,123,"Диаметр чаши крепления, мм",ДиаметрЧашиКрепления,,,,,,,,,
,124,"Высота чаши крепления, мм",ВысотаЧашиКрепления,,,,,,,,,
,125,"Форма абажура (плафона, декора)",ФормаАбажура,,,,,,,,,
,126,"Тип крепления абажура  (плафона, декора)",ТипКрепленияАбажура,,"Тип крепления плафона, На арматуру / На лампу",,,,,,,
,127,"Материал абажура  (плафона, декора)",МатериалАбажура,,Материал плафона (Декора),Материал плафона,,,Материал плафона/рассеивателя,,,
,128,"Высота абажура (плафона, декора), мм",ВысотаАбажура,,,,,,,,,
,129,"Ширина абажура  (плафона, декора), мм",ШиринаАбажура,,,,,,,,,
,130,"Длина абажура (плафона, декора), мм",ДлинаАбажура,,,,,,,,,
,131,"Нижний диаметр абажура (плафона, декора), мм",НижнийДиаметрАбажура,,,,,,,,,
,132,"Верхняя ширина абажура (плафона, декора), мм",ВерхняяШиринаАбажура,,,,,,,,,
,133,"Нижняя ширина абажура (плафона, декора), мм",НижняяШиринаАбажура,,,,,,,,,
,134,"Верхняя длина абажура (плафона, декора), мм",ВерхняяДлинаАбажура,,,,,,,,,
,135,"Нижняя длина абажура (плафона, декора), мм",НижняяДлинаАбажура,,,,,,,,,
,136,"Диаметр абажура (плафона, декора), мм",ДиаметрАбажура,,,,,,,,,
,137,"Радиус абажура (плафона, декора), мм",РадиусАбажура,,,,,,,,,
,138,"Количество плафонов (декор элем встройки), шт",,,"Количество плафонов (декор элем встройки), шт (если 0 - нет)",,,,,,,
,139,"Количество рожков, шт",,,"Количество рожков, шт (если 0 - нет)",,,,,,,Не отображать в общем фильтре
,140,"Направление рожков, Вверх/Вниз",,,"Направление рожков, Вверх/Вниз",,,,,,,Не отображать в общем фильтре
,141,"Угол поворота по вертикали, °",,,"Угол поворота по вертикали, °",,,,,,,Не отображать в общем фильтре
,142,"Угол поворота по горизонтали, °",,,"Угол поворота по горизонтали, °",,,,,,,Не отображать в общем фильтре
,143,"Max длина светодиодной ленты, м",,,"Max длина низковольтной линии (светодиодной ленты), м",,,,,,,
,144,Тип светодиодов,,,Тип светодиодов,,Тип светодиода [tip_svetodioda],,,,,
,145,Количество светодиодов,,,,,Количество светодиодов [NUMBER_OF_LEDS],,,,,
,146,Размер светодиодов,,Размер светодиода,,,Размер светодиода [razmer_svetodioda],,,,,
,147,"Кол-во светодиодов, шт/м",,,Кол-во LED на метр,,"Кол-во светодиодов, шт/м [kol_vo_svetodiodov_shtm]",,Количество источников света на 1 метр погонный,,,
,148,Количество рядов,,,,,Количество рядов [kolichestvo_ryadov],,,,,
,149,"Кратность резки, мм",,,"Кратность отреза, мм",,"Кратность резки, мм [kratnost_rezki]",,Длина модуля резки,,,
03/22/2022,,"Кратность резки, мм",,,,,,,Кратность резки,,,
,150,"Кратность резки, LED",,,,,"Кратность резки, LED [kratnost_rezki_led]",,,,,
,151,Максимальная ширина ленты,,,,,Максимальная ширина ленты [maksimalnaya_shirina_lenty],,,,,
,152,"Длина катушки, мм ",,,,,"Длина, мм [dlina_katushki]",,,,,
,153,Тип дерева,,,,,Тип дерева [tip_dereva],,,,,Не отображать в общем фильтре
,новый,Цвет по RAL,,,,,,,Цвет по RAL,,,
,,Цвет по RAL,,,,,,,Номер цвета RAL,,,
,новый,Количество клавиш (кнопок),,,,,,,Количество клавиш,,,
,,Количество клавиш (кнопок),,,,,,,Количество клавиш/кнопок,,,
,,,,,,,,,,,,
03/22/2022,,"Световой поток (до), Лм (для лент Лм&#47;м)",,,,,,,Световой поток (до),,,
03/22/2022,,"Цветовая температура (до), K",,,,,,,Цветовая температура (до),,,
03/22/2022,,"Номинал. световой поток в соотв. IEC 62722-2-1, Лм (для лент Лм&#47;м)",,,,,,,Номинал. световой поток в соотв. IEC 62722-2-1,,,
03/22/2022,,"Номин. напряжение (до), В",,,,,,,Номин. напряжение (до),,,
03/22/2022,,"Напряжение лампы, В",,,,,,,Напряжение лампы,,,
03/22/2022,," Выходной ток (до), А",,,,,,,Выходной ток (до),,,
03/22/2022,,"Выход. напряжение (до), В",,,,,,,Выход. напряжение (до),,,
03/22/2022,,"Глубина, мм",,,,,,,Глубина,,,
03/22/2022,,"Диаметр монтажный (встраив.), мм",,,,,,,Диаметр монтажный (встраив.),,,
03/22/2022,,"Номин. Ток, А",,,,,,,Номин. Ток,,,
03/22/2022,,"Глубина устройства, мм",,,,,,,Глубина устройства,,,
03/22/2022,,"Номин. мощность (до), Вт",,,,,,,Номин. мощность (до),,,
03/22/2022,,"Макс. коммутационная мощность (подключ. нагрузка), Вт",,,,,,,Макс. коммутационная мощность (подключ. нагрузка),,,
03/22/2022,,"Угол обнаружения по горизонтали, град.",,,,,,,Угол обнаружения по горизонтали,,,
03/22/2022,,"Угол обнаружения по горизонтали (до), град.",,,,,,,Угол обнаружения по горизонтали (до),,,
03/22/2022,,"Макс. дальность действия фронтально, м",,,,,,,Макс. дальность действия фронтально,,,
03/22/2022,,"Угол сканирования, град.",,,,,,,Угол сканирования,,,
03/22/2022,,"Первичное&#47;вход. Напряжение, В",,,,,,,Первичное&#47;вход. Напряжение,,,
03/22/2022,,"Первичное&#47;вход. напряжение (до), В",,,,,,,Первичное&#47;вход. напряжение (до),,,
03/22/2022,,"Коммутируем. Мощность, Вт",,,,,,,Коммутируем. Мощность,,,
03/22/2022,,"Коммутируем. мощность (до), Вт",,,,,,,Коммутируем. мощность (до),,,
03/22/2022,,"Номинальный срок службы L70&#47;B50 при 25 °C, ч.",,,,,,,Номинальный срок службы L70&#47;B50 при 25 °C,,,
03/22/2022,,"Длина подвеса, мм",,,,,,,Длина подвеса,,,
03/22/2022,,"Длина подвеса (до), мм",,,,,,,Длина подвеса (до),,,
03/22/2022,,"Общая длина, м (мм)",,,,,,,Общ. Длина,,,
03/22/2022,,"Подключаем. нагрузка (потребляем. мощность), Вт",,,,,,,Подключаем. нагрузка (потребляем. мощность),,,
03/22/2022,,"Мощность, Вт",,,,,,,Мощность,,,
03/22/2022,,"Номин. раб. напряжение (до), В",,,,,,,Номин. раб. напряжение (до),,,
03/22/2022,,"Макс. выход. Ток, мА",,,,,,,,,,
03/22/2022,,"Вторичное напряжение, В",,,,,,,Вторичное напряжение,,,
03/22/2022,,"Частота, МГц",,,,,,,Частота,,,
03/22/2022,,"Частота (до), МГц",,,,,,,Частота (до),,,
03/22/2022,,"Мощность лампы (до), Вт",,,,,,,Мощность лампы (до),,,
03/22/2022,,"Средн. номин. срок службы, ч.",,,,,,,,,,
03/22/2022,,"Коммутируем. Нагрузка, Вт",,,,,,,Коммутируем. Нагрузка,,,
03/22/2022,,"Макс. ток коммутируем. резистивной нагрузки, А",,,,,,,Макс. ток коммутируем. резистивной нагрузки,,,
03/22/2022,,"Коммутируем. Напряжение, В",,,,,,,Коммутируем. Напряжение,,,
03/22/2022,,"Коммутируем. напряжение (до), Вт",,,,,,,Коммутируем. напряжение (до),,,
